"organism";"seq";"address"
"Methanobacterium beijingense";"JX293695.1";"https://www.ncbi.nlm.nih.gov/nuccore/JX293695.1"
"Methanobacterium beijingense";"AY552778.3";"https://www.ncbi.nlm.nih.gov/nuccore/AY552778.3"
"Methanobacterium beijingense";"EU544027.1";"https://www.ncbi.nlm.nih.gov/nuccore/EU544027.1"
"Methanobacterium beijingense";"DQ649303.1";"https://www.ncbi.nlm.nih.gov/nuccore/DQ649303.1"
"Methanobacterium beijingense";"DQ649302.1";"https://www.ncbi.nlm.nih.gov/nuccore/DQ649302.1"
"Methanobacterium beijingense";"AY350742.1";"https://www.ncbi.nlm.nih.gov/nuccore/AY350742.1"
"Methanobacterium bryantii";"JQ346748.1";"https://www.ncbi.nlm.nih.gov/nuccore/JQ346748.1"
"Methanobacterium bryantii";"AF313806.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF313806.1"
"Methanobacterium bryantii";"NR_042781.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_042781.1"
"Methanobacterium bryantii";"KF881998.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF881998.1"
"Methanobacterium bryantii";"AY196657.1";"https://www.ncbi.nlm.nih.gov/nuccore/AY196657.1"
"Methanobacterium bryantii";"M55530.1";"https://www.ncbi.nlm.nih.gov/nuccore/M55530.1"
"Methanobacterium bryantii";"AB542756.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542756.1"
"Methanobacterium bryantii";"AB542747.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542747.1"
"Methanobacterium bryantii";"HD015442.1";"https://www.ncbi.nlm.nih.gov/nuccore/HD015442.1"
"Methanobacterium bryantii";"U40213.1";"https://www.ncbi.nlm.nih.gov/nuccore/U40213.1"
"Methanobacterium bryantii";"GQ906568.1";"https://www.ncbi.nlm.nih.gov/nuccore/GQ906568.1"
"Methanobacterium bryantii";"HB958032.1";"https://www.ncbi.nlm.nih.gov/nuccore/HB958032.1"
"Methanobacterium bryantii";"X14631.1";"https://www.ncbi.nlm.nih.gov/nuccore/X14631.1"
"Methanobacterium bryantii";"AY196658.1";"https://www.ncbi.nlm.nih.gov/nuccore/AY196658.1"
"Methanobacterium bryantii";"AF028688.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF028688.1"
"Methanobacterium bryantii";"Y18736.1";"https://www.ncbi.nlm.nih.gov/nuccore/Y18736.1"
"Methanobacterium bryantii";"Y11302.1";"https://www.ncbi.nlm.nih.gov/nuccore/Y11302.1"
"Methanobacterium bryantii";"U53419.1";"https://www.ncbi.nlm.nih.gov/nuccore/U53419.1"
"Methanobacterium bryantii";"M59124.1";"https://www.ncbi.nlm.nih.gov/nuccore/M59124.1"
"Methanobacterium congolense";"LT607757.1";"https://www.ncbi.nlm.nih.gov/nuccore/LT607757.1"
"Methanobacterium congolense";"LT607756.1";"https://www.ncbi.nlm.nih.gov/nuccore/LT607756.1"
"Methanobacterium congolense";"NZ_LT607757.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_LT607757.1"
"Methanobacterium congolense";"NZ_LT607756.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_LT607756.1"
"Methanobacterium congolense";"NR_028175.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_028175.1"
"Methanobacterium congolense";"KF882007.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF882007.1"
"Methanobacterium congolense";"AB542748.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542748.1"
"Methanobacterium congolense";"AF233586.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF233586.1"
"Methanobacterium espanolae";"NR_114483.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_114483.1"
"Methanobacterium espanolae";"NR_104983.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_104983.1"
"Methanobacterium espanolae";"KC139246.1";"https://www.ncbi.nlm.nih.gov/nuccore/KC139246.1"
"Methanobacterium espanolae";"AB542757.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542757.1"
"Methanobacterium espanolae";"AB542749.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542749.1"
"Methanobacterium espanolae";"AF095260.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF095260.1"
"Methanobacterium ferruginis";"NR_113045.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_113045.1"
"Methanobacterium ferruginis";"KF881999.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF881999.1"
"Methanobacterium ferruginis";"AB542743.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542743.1"
"Methanobacterium ferruginis";"AB542745.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542745.1"
"Methanobacterium flexile";"NR_116276.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_116276.1"
"Methanobacterium flexile";"HM802935.1";"https://www.ncbi.nlm.nih.gov/nuccore/HM802935.1"
"Methanobacterium flexile";"EU333914.2";"https://www.ncbi.nlm.nih.gov/nuccore/EU333914.2"
"Methanobacterium formicicum";"LF651848.1";"https://www.ncbi.nlm.nih.gov/nuccore/LF651848.1"
"Methanobacterium formicicum";"LF134242.1";"https://www.ncbi.nlm.nih.gov/nuccore/LF134242.1"
"Methanobacterium formicicum";"LF136274.1";"https://www.ncbi.nlm.nih.gov/nuccore/LF136274.1"
"Methanobacterium formicicum";"AF414051.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF414051.1"
"Methanobacterium formicicum";"AF414050.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF414050.1"
"Methanobacterium formicicum";"M84821.2";"https://www.ncbi.nlm.nih.gov/nuccore/M84821.2"
"Methanobacterium formicicum";"EF465108.1";"https://www.ncbi.nlm.nih.gov/nuccore/EF465108.1"
"Methanobacterium formicicum";"EF465103.1";"https://www.ncbi.nlm.nih.gov/nuccore/EF465103.1"
"Methanobacterium formicicum";"LG104620.1";"https://www.ncbi.nlm.nih.gov/nuccore/LG104620.1"
"Methanobacterium formicicum";"LG085837.1";"https://www.ncbi.nlm.nih.gov/nuccore/LG085837.1"
