"Name","GrowthDoublingTime","GrowthRate","maximalGrowthTemperature","maximumcellLength","maximumcellWidth","maximumGrowthNACL","maximumGrowthPH","minimalGrowthTemperature","minimumcellGcContent","minimumcellLength","minimumcellWidth","minimumGrowthNACL","minimumGrowthPH","optimalGrowthNACLMaximal","optimalGrowthNACLMinimal","optimalGrowthPHMaximal","optimalGrowthPHMinimal","optimalGrowthTemperatureMaximal","optimalGrowthTemperatureMinimal"
"Methanoculleus hydrogenitrophicus",22.355,0.031,45,2,2,0.07,8.5,18,60.2,0.8,0.8,0.01,5,0.03,0.03,6.6,6.6,37,37
"Methanoculleus marisnigri",10,0.069,48,1.3,1.3,0.69,7.6,15,61.2,1.3,1.3,0,6,0,0,6.6,6.2,25,20
"Methanoculleus palmolei",13.5,0.051,50,2,2,NA,8,22,59,1.25,1.25,NA,6.5,NA,NA,7.5,6.9,40,40
"Methanoculleus receptaculi",8.25,0.084,65,1.7,1.7,1.3,8.5,30,55.2,0.8,0.8,0,6.5,0.2,0.2,7.8,7.5,55,50
"Methanoculleus sediminis",0,0,0,1,1,0,0,0,62.3,0.5,0.5,0,0,0.17,0.17,7.1,7.1,37,37
"Methanoculleus submarinus",6.93,0.1,50,2,2,1.7,8.7,15,NA,0.8,0.8,0.1,4.8,0.4,0.1,7.7,5.1,45,35
"Methanoculleus thermophilus",2.5,0.277,65,1.3,1.3,0.7,7.8,37,59,1,1,0,6.5,0.2,0.2,7,7,55,55
"Methanofollis aquaemaris",13,0.053,43,2,2,1.02669404517,8,20,NA,1.2,1.2,0,6.3,0,0,5.6,6.5,37,37
"Methanofollis ethanolicus",72,0.01,40,3,3,0.427789185489,7.5,15,60.9,2,2,0,6.5,0,0,7,7,37,37
"Methanofollis formosanus",20,0.035,42,2,2,0.684462696783,7.3,20,58.4,1.5,1.5,0,5.6,0.513347022587,0.513347022587,6.6,6.6,37,37
"Methanofollis liminatans",8.5,0.082,45,1.5,1.5,0.6,NA,20,59.3,1.5,1.5,0,NA,0,0,7,7,40,40
"Methanofollis tationis",12,0.058,45,3,3,1,8.8,25,54,3,3,0,6.3,0,0,7,7,40,37
"Methanogenium boonei",NA,NA,25.6,2.5,2.5,0.8,7.8,5,49.7,1,1,0.1,6.4,0.5,0.3,NA,NA,19.4,19.4
"Methanogenium cariaci",11,0.063,35,2.6,2.6,0.69,7.5,15,52,2.6,2.6,0.23,6,0.46,0.46,7.2,6.8,25,20
"Methanogenium frigidum",70,0.01,17,2.5,2.5,0.6,8,0,NA,1.2,1.2,0.35,6.3,NA,NA,7.9,7.5,15,15
"Methanogenium marinum",33,0.021,25,1.2,1.2,1.25,7.7,5,NA,1,1,0.25,5.5,1.1,0.4,6.6,6,25,25
"Methanogenium organophilum",6,0.116,39,1.5,1.5,NA,NA,30,46.7,0.5,0.5,NA,NA,0,0.342231348392,7.3,6.4,35,30
"Methanohalobium evestigatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Methanohalophilus euhalobius",NA,NA,50,2.5,1,2.3,8,15,43,2.5,1,0.16,5.8,1,1,7.3,6.8,37,28
"Methanohalophilus halophilus",NA,NA,40,2,0.5,3.5,8,18,44,2,0.2,0.3,6.3,2.5,0.6,7.4,6.5,36,26
"Methanohalophilus levihalophilus",18,0.039,40,1,1,1.3,8.3,20,43.7,0.7,0.7,0.2,6.2,0.4,0.35,7.5,7,35,35
